policy,count,wmape,mape,macro_region_wmape,median_ape,p90_ape,rmse,mae,material_degradation_count,region_improvement_rate,industry,improvement_vs_global_pct
M0_baseline,1504,5.774172,7.161669,5.333156,5.166489,14.949912,436403.181573,149711.201377,44,0.494681,C00,0.747504
M0_baseline,1396,18.210087,242.277875,23.926527,12.749147,76.636773,60304.144442,29873.364363,168,0.492837,D00,1.87901
M0_baseline,1504,4.957608,5.30982,4.746037,4.108902,11.930548,597491.37848,302373.53258,0,0.579787,all,0.761941
M1_global,1504,5.817659,7.226169,5.360588,4.91388,14.958939,440478.235165,150838.733144,0,0.0,C00,4e-06
M1_global,1396,18.558809,250.773308,25.237428,12.8379,72.235901,62050.914253,30445.43739,0,0.0,D00,-0.0
M1_global,1504,4.995672,5.40089,4.790483,4.104394,11.661827,599518.690185,304695.137976,0,0.0,all,1e-06
M2B_baseline_electricity,1504,7.145227,9.896425,6.928782,8.135092,18.474267,517785.066748,185259.554015,889,0.323138,C00,-22.81962
M2B_baseline_electricity,1396,18.418291,231.124699,23.807713,13.864582,75.438051,60132.247999,30214.919535,633,0.371777,D00,0.757149
M2B_baseline_electricity,1504,5.403246,5.275317,4.892316,4.254596,11.49928,715931.355437,329553.837653,557,0.518617,all,-8.158541
M3_global_electricity,1504,6.464948,9.769201,6.754085,7.490066,19.511213,439199.562445,167621.477081,722,0.374335,C00,-11.126275
M3_global_electricity,1396,19.556319,230.008621,25.610766,15.840694,67.828723,63845.854154,32081.837299,711,0.379656,D00,-5.37486
M3_global_electricity,1504,5.375213,5.278153,4.873598,4.210364,11.445111,701327.869001,327844.038165,554,0.525931,all,-7.597395
M4_global_electricity_alpha_0.25,1504,5.699718,7.348419,5.411806,5.618365,14.746232,417663.623092,147780.775788,311,0.480718,C00,2.027297
M4_global_electricity_alpha_0.25,1396,18.744336,245.217797,25.261257,13.089632,70.306028,61900.628205,30749.791557,189,0.422636,D00,-0.999671
M4_global_electricity_alpha_0.25,1504,4.886651,5.103068,4.608617,4.042674,11.564153,609279.079666,298045.730232,0,0.634309,all,2.18231
M4_global_electricity_alpha_0.5,1504,5.827362,7.933879,5.748538,5.794751,15.408901,408954.018991,151090.290937,519,0.443484,C00,-0.166781
M4_global_electricity_alpha_0.5,1396,18.978422,239.913768,25.319633,13.930049,68.699779,62173.591737,31133.805927,515,0.404728,D00,-2.260991
M4_global_electricity_alpha_0.5,1504,4.916698,4.990439,4.56685,3.950643,11.196527,630479.749265,299878.386089,224,0.607048,all,1.58085
M4_global_electricity_alpha_0.75,1504,6.071532,8.759503,6.197499,6.585634,17.1453,416097.769685,157421.078412,644,0.401596,C00,-4.36383
M4_global_electricity_alpha_0.75,1396,19.247368,234.844939,25.445207,15.041509,67.843538,62834.969681,31575.00745,629,0.39255,D00,-3.710147
M4_global_electricity_alpha_0.75,1504,5.096137,5.049543,4.665261,4.004862,11.001479,661705.579991,310822.670051,460,0.555186,all,-2.011039
